unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1.60E+12,01-08-2020 23:00,ADA/USDT,0.14482,0.14678,0.14404,0.1441,21157160,3074777,6858
1.60E+12,02-08-2020 0:00,ADA/USDT,0.14415,0.14527,0.14313,0.14495,13146482,1897627,4325
1.60E+12,02-08-2020 1:00,ADA/USDT,0.14495,0.14503,0.14312,0.14372,13256318,1911074,4404
1.60E+12,02-08-2020 2:00,ADA/USDT,0.14372,0.1449,0.14334,0.14432,11376218,1640982,3468
1.60E+12,02-08-2020 3:00,ADA/USDT,0.14435,0.14826,0.14418,0.14759,28875942,4233315,8132
1.60E+12,02-08-2020 4:00,ADA/USDT,0.14759,0.1485,0.1258,0.13301,1.21E+08,16596625,36292
1.60E+12,02-08-2020 5:00,ADA/USDT,0.13301,0.1355,0.12836,0.13257,68875684,9137676,24514
1.60E+12,02-08-2020 6:00,ADA/USDT,0.13262,0.1365,0.13174,0.1356,32104940,4293654,9028
1.60E+12,02-08-2020 7:00,ADA/USDT,0.13556,0.1382,0.13479,0.13671,26550649,3633849,7636
1.60E+12,02-08-2020 8:00,ADA/USDT,0.13666,0.13783,0.1355,0.13692,17800316,2436234,5259
1.60E+12,02-08-2020 9:00,ADA/USDT,0.13693,0.13776,0.13553,0.13756,15654462,2139041,4130
1.60E+12,02-08-2020 10:00,ADA/USDT,0.13763,0.13776,0.13442,0.13625,29263328,3992266,6000
1.60E+12,02-08-2020 11:00,ADA/USDT,0.13626,0.13722,0.1304,0.13324,39101899,5232045,10571
1.60E+12,02-08-2020 12:00,ADA/USDT,0.13312,0.13392,0.13188,0.1323,19783861,2631682,7258
1.60E+12,02-08-2020 13:00,ADA/USDT,0.13227,0.13449,0.13219,0.13446,18186651,2429011,4939
1.60E+12,02-08-2020 14:00,ADA/USDT,0.13448,0.13563,0.13323,0.13431,12882603,1728362,3693
1.60E+12,02-08-2020 15:00,ADA/USDT,0.13437,0.13544,0.13408,0.13475,9031077,1218105,2552
1.60E+12,02-08-2020 16:00,ADA/USDT,0.13482,0.13636,0.13468,0.13568,13922230,1888596,3935
1.60E+12,02-08-2020 17:00,ADA/USDT,0.13559,0.13596,0.13448,0.13501,10336357,1398027,2825
1.60E+12,02-08-2020 18:00,ADA/USDT,0.13505,0.13667,0.13486,0.13639,9374824,1274680,2443
1.60E+12,02-08-2020 19:00,ADA/USDT,0.13639,0.137,0.13508,0.13588,10652138,1447843,3326
1.60E+12,02-08-2020 20:00,ADA/USDT,0.13591,0.13647,0.13383,0.13395,9385746,1267773,2743
1.60E+12,02-08-2020 21:00,ADA/USDT,0.13402,0.13505,0.13331,0.13426,13964982,1873994,3744
1.60E+12,02-08-2020 22:00,ADA/USDT,0.13428,0.13533,0.1336,0.13388,6023079,809906.2,2185
1.60E+12,02-08-2020 23:00,ADA/USDT,0.13387,0.13437,0.1334,0.13375,6923123,926969.3,2212
1.60E+12,03-08-2020 0:00,ADA/USDT,0.13381,0.13507,0.132,0.13463,16222062,2166503,4854
1.60E+12,03-08-2020 1:00,ADA/USDT,0.13463,0.13566,0.13451,0.1351,10079533,1362939,2708
1.60E+12,03-08-2020 2:00,ADA/USDT,0.13515,0.13553,0.13475,0.13505,8640714,1167297,2015
1.60E+12,03-08-2020 3:00,ADA/USDT,0.13506,0.1353,0.13424,0.13447,5382653,725300.8,1527
1.60E+12,03-08-2020 4:00,ADA/USDT,0.13453,0.13525,0.1345,0.1351,5091909,687173.9,1494
1.60E+12,03-08-2020 5:00,ADA/USDT,0.13511,0.13555,0.13452,0.13552,6360902,858606.9,2039
1.60E+12,03-08-2020 6:00,ADA/USDT,0.13551,0.13559,0.13483,0.13537,9874131,1335341,2214
1.60E+12,03-08-2020 7:00,ADA/USDT,0.13534,0.13767,0.13506,0.13649,17814379,2432565,4779
1.60E+12,03-08-2020 8:00,ADA/USDT,0.13649,0.13849,0.13605,0.13768,18033504,2484062,4268
1.60E+12,03-08-2020 9:00,ADA/USDT,0.13769,0.1386,0.13626,0.13657,14599748,2011600,3998
1.60E+12,03-08-2020 10:00,ADA/USDT,0.13657,0.13865,0.13654,0.13834,14117560,1942602,3285
1.60E+12,03-08-2020 11:00,ADA/USDT,0.13833,0.1393,0.13781,0.13859,12123888,1680296,3512
1.60E+12,03-08-2020 12:00,ADA/USDT,0.13857,0.13897,0.13777,0.13856,8050641,1114573,2564
1.60E+12,03-08-2020 13:00,ADA/USDT,0.13856,0.13896,0.13795,0.13801,8761667,1213708,2238
1.60E+12,03-08-2020 14:00,ADA/USDT,0.13796,0.13849,0.13711,0.13799,11532150,1590385,3365
1.60E+12,03-08-2020 15:00,ADA/USDT,0.13799,0.1382,0.13618,0.13739,14260239,1955718,3793
1.60E+12,03-08-2020 16:00,ADA/USDT,0.13739,0.13789,0.13611,0.1366,17625607,2414566,4739
1.60E+12,03-08-2020 17:00,ADA/USDT,0.13656,0.13761,0.13627,0.13739,9447741,1293613,2138
1.60E+12,03-08-2020 18:00,ADA/USDT,0.13744,0.13769,0.13676,0.13765,4714519,646582.9,1456
1.60E+12,03-08-2020 19:00,ADA/USDT,0.13768,0.13768,0.1365,0.13724,5017834,687649.5,1639
1.60E+12,03-08-2020 20:00,ADA/USDT,0.13729,0.13754,0.13627,0.13668,6146982,840947.7,1766
1.60E+12,03-08-2020 21:00,ADA/USDT,0.13674,0.13783,0.135,0.13556,12721381,1738774,3881
1.60E+12,03-08-2020 22:00,ADA/USDT,0.13553,0.13768,0.13535,0.13661,8846149,1210040,3168
1.60E+12,03-08-2020 23:00,ADA/USDT,0.13649,0.13747,0.13572,0.1373,9925385,1354532,3434
1.60E+12,04-08-2020 0:00,ADA/USDT,0.13735,0.1394,0.13701,0.1391,20108860,2779754,5900
1.60E+12,04-08-2020 1:00,ADA/USDT,0.13911,0.13924,0.138,0.13836,11029355,1529012,2894
1.60E+12,04-08-2020 2:00,ADA/USDT,0.13836,0.13867,0.13731,0.13754,8558962,1181364,2130
1.60E+12,04-08-2020 3:00,ADA/USDT,0.13764,0.13813,0.13614,0.1369,10277583,1409034,2884
1.60E+12,04-08-2020 4:00,ADA/USDT,0.1369,0.13772,0.13624,0.13768,5326577,729486.7,1525
1.60E+12,04-08-2020 5:00,ADA/USDT,0.13767,0.13816,0.13717,0.13779,5092031,701189.6,1674
1.60E+12,04-08-2020 6:00,ADA/USDT,0.13784,0.1381,0.13663,0.13709,3999195,548894.1,1514
1.60E+12,04-08-2020 7:00,ADA/USDT,0.13708,0.13782,0.13675,0.13699,6451607,885731.3,2107
1.60E+12,04-08-2020 8:00,ADA/USDT,0.13703,0.138,0.13647,0.1371,9727807,1334740,2697
1.60E+12,04-08-2020 9:00,ADA/USDT,0.13706,0.13745,0.1369,0.13738,5152028,707013.3,1434
1.60E+12,04-08-2020 10:00,ADA/USDT,0.13741,0.13903,0.13713,0.13802,16109409,2226580,4632
1.60E+12,04-08-2020 11:00,ADA/USDT,0.13802,0.1388,0.13611,0.13696,23957315,3294611,5512
1.60E+12,04-08-2020 12:00,ADA/USDT,0.13703,0.13939,0.13678,0.13909,22423477,3104194,5912
1.60E+12,04-08-2020 13:00,ADA/USDT,0.13907,0.14408,0.1375,0.14361,49081518,6923171,13548
1.60E+12,04-08-2020 14:00,ADA/USDT,0.14357,0.145,0.14275,0.14465,35863876,5163480,9490
1.60E+12,04-08-2020 15:00,ADA/USDT,0.14469,0.14768,0.14408,0.14742,41600567,6060242,9749
1.60E+12,04-08-2020 16:00,ADA/USDT,0.14742,0.14825,0.14395,0.14456,40405002,5889077,9994
1.60E+12,04-08-2020 17:00,ADA/USDT,0.14453,0.14616,0.14435,0.14598,15192034,2207230,4134
1.60E+12,04-08-2020 18:00,ADA/USDT,0.14595,0.14625,0.14339,0.1436,15966952,2306857,4579
1.60E+12,04-08-2020 19:00,ADA/USDT,0.14368,0.14413,0.14309,0.1438,8920399,1281757,2609
1.60E+12,04-08-2020 20:00,ADA/USDT,0.14382,0.14496,0.14307,0.14364,8914081,1284473,2678
1.60E+12,04-08-2020 21:00,ADA/USDT,0.14352,0.14432,0.14166,0.14406,15129476,2161517,4571
1.60E+12,04-08-2020 22:00,ADA/USDT,0.14405,0.14591,0.1438,0.14466,16185629,2342563,4346
1.60E+12,04-08-2020 23:00,ADA/USDT,0.1447,0.14482,0.14242,0.14335,9955951,1427736,2954
1.60E+12,05-08-2020 0:00,ADA/USDT,0.14333,0.14518,0.14322,0.14362,9520352,1371568,3186
1.60E+12,05-08-2020 1:00,ADA/USDT,0.14361,0.14451,0.14225,0.14388,9286153,1332889,2823
1.60E+12,05-08-2020 2:00,ADA/USDT,0.14389,0.14422,0.14267,0.14401,7172214,1028956,2280
1.60E+12,05-08-2020 3:00,ADA/USDT,0.14397,0.14533,0.14339,0.14395,14584092,2109464,4239
1.60E+12,05-08-2020 4:00,ADA/USDT,0.14388,0.14505,0.14366,0.14489,7204891,1039922,2498
1.60E+12,05-08-2020 5:00,ADA/USDT,0.14498,0.1452,0.14405,0.14517,6544461,945966.2,2273
1.60E+12,05-08-2020 6:00,ADA/USDT,0.14515,0.14515,0.14221,0.14221,20193876,2895529,4388
