unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.57E+12,08-09-2019 0:00,BTC/USDT,10000,10412.65,10000,10391.63,3096.291,32096280,3754
1.57E+12,09-09-2019 0:00,BTC/USDT,10316.62,10475.54,10077.22,10307,14824.37,1.52E+08,11296
1.57E+12,10-09-2019 0:00,BTC/USDT,10307,10382.97,9940.87,10102.02,9068.955,92717645,10089
1.57E+12,11-09-2019 0:00,BTC/USDT,10094.27,10293.11,9884.31,10159.55,10897.92,1.10E+08,13811
1.57E+12,12-09-2019 0:00,BTC/USDT,10163.06,10450.13,10042.12,10415.13,15609.63,1.59E+08,20060
1.57E+12,13-09-2019 00:00,BTC/USDT,10414.96,10440.55,10153.51,10341.34,19252.72,1.98E+08,29249
1.57E+12,14-09-2019 00:00,BTC/USDT,10343.01,10419.97,10222.77,10332.25,20656.62,2.13E+08,30436
1.57E+12,15-09-2019 00:00,BTC/USDT,10333.47,10359.2,10024.81,10302.22,20536.26,2.12E+08,25912
1.57E+12,16-09-2019 00:00,BTC/USDT,10302,10353.81,10080.7,10249.27,20185.64,2.07E+08,31837
1.57E+12,17-09-2019 00:00,BTC/USDT,10257.3,10270.63,10136.77,10186.52,22519.61,2.30E+08,31535
1.57E+12,18-09-2019 00:00,BTC/USDT,10183.87,10256.65,10097.92,10155.16,20832.9,2.12E+08,30799
1.57E+12,19-09-2019 00:00,BTC/USDT,10154.7,10331.62,9530.02,10245.3,26228.75,2.62E+08,41871
1.57E+12,20-09-2019 00:00,BTC/USDT,10247.7,10279.3,10070.5,10166.35,23265.91,2.37E+08,31054
1.57E+12,21-09-2019 00:00,BTC/USDT,10166.56,10175.3,9912.63,9983.33,23642.39,2.37E+08,32670
1.57E+12,22-09-2019 00:00,BTC/USDT,9992.7,10089.52,9857,10023.04,23916.35,2.39E+08,33401
1.57E+12,23-09-2019 00:00,BTC/USDT,10027.69,10046.91,9620,9701.96,31927.06,3.15E+08,42190
1.57E+12,24-09-2019 00:00,BTC/USDT,8683.2,9792.83,8645.61,8645.61,29758.54,2.86E+08,46730
1.57E+12,25-09-2019 00:00,BTC/USDT,8493.32,8725.24,8200,8430.07,48222.1,4.07E+08,85707
1.57E+12,26-09-2019 00:00,BTC/USDT,8428.15,8464.4,7700.67,8060.15,60065.95,4.88E+08,110581
1.57E+12,27-09-2019 00:00,BTC/USDT,8061.98,8260,7851.94,8176.52,40034.65,3.21E+08,80396
1.57E+12,28-09-2019 00:00,BTC/USDT,8178.26,8311,8001.14,8195.38,33820.92,2.75E+08,69220
1.57E+12,29-09-2019 00:00,BTC/USDT,8199,8226.35,7888.98,8041.96,35966.06,2.89E+08,78128
1.57E+12,30-09-2019 00:00,BTC/USDT,8042.08,8331.89,7709.01,8285.84,54412.52,4.37E+08,107329
1.57E+12,01-10-2019 0:00,BTC/USDT,8285.31,8499,8171,8290,39212.8,3.27E+08,92166
1.57E+12,02-10-2019 0:00,BTC/USDT,8290,8365.92,8149.35,8352.14,30329.18,2.50E+08,71452
1.57E+12,03-10-2019 0:00,BTC/USDT,8353.4,8386,8020,8220.27,33430.23,2.74E+08,82221
1.57E+12,04-10-2019 0:00,BTC/USDT,8219.95,8227.42,7979.95,8130.56,28421.11,2.31E+08,74683
1.57E+12,05-10-2019 0:00,BTC/USDT,8130,8175,8010,8122.14,30262.01,2.45E+08,69791
1.57E+12,06-10-2019 0:00,BTC/USDT,8122.01,8148.43,7760,7852.79,41909.04,3.33E+08,94844
1.57E+12,07-10-2019 0:00,BTC/USDT,7851.01,8330,7764.42,8186.88,62760.3,5.05E+08,115400
1.57E+12,08-10-2019 0:00,BTC/USDT,8188.55,8322.01,8103.88,8167.62,44715.17,3.67E+08,82468
