unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1.53E+09,15-05-2018 06:00,BTC/USD,8733.86,8796.68,8707.28,8740.99,4906603,559.93
1.53E+09,15-05-2018 07:00,BTC/USD,8740.99,8766,8721.11,8739,2390399,273.58
1.53E+09,15-05-2018 08:00,BTC/USD,8739,8750.27,8660.53,8728.49,7986063,917.79
1.53E+09,15-05-2018 09:00,BTC/USD,8728.49,8754.4,8701.35,8708.32,1593992,182.62
1.53E+09,15-05-2018 10:00,BTC/USD,8708.32,8865,8695.11,8795.9,11101274,1260.69
1.53E+09,15-05-2018 11:00,BTC/USD,8795.9,8821.19,8740.54,8760,2842987,324.11
1.53E+09,15-05-2018 12:00,BTC/USD,8760,8798.6,8741.52,8760,2842401,324.2
1.53E+09,15-05-2018 13:00,BTC/USD,8760,8771.02,8700,8759.23,6380082,730.67
1.53E+09,15-05-2018 14:00,BTC/USD,8759.23,8761.7,8467.42,8517.77,11484107,1341.75
1.53E+09,15-05-2018 15:00,BTC/USD,8517.77,8553.67,8477.89,8520.3,6747072,792.07
1.53E+09,15-05-2018 16:00,BTC/USD,8520.3,8589.1,8500.78,8535.23,3298228,385.69
1.53E+09,15-05-2018 17:00,BTC/USD,8535.23,8579.48,8500,8546.34,4058869,475.08
1.53E+09,15-05-2018 18:00,BTC/USD,8546.34,8555.51,8400,8526.65,7443240,877.26
1.53E+09,15-05-2018 19:00,BTC/USD,8526.65,8583.6,8451.05,8555.6,5703981,670.49
1.53E+09,15-05-2018 20:00,BTC/USD,8555.6,8569.92,8461.38,8512.1,5192992,610.97
1.53E+09,15-05-2018 21:00,BTC/USD,8512.1,8555.54,8481.24,8492.28,1440288,168.99
1.53E+09,15-05-2018 22:00,BTC/USD,8492.28,8557.51,8420.37,8460,2591380,305.92
1.53E+09,15-05-2018 23:00,BTC/USD,8460,8505,8450,8474.99,1152835,136.05
1.53E+09,16-05-2018 00:00,BTC/USD,8474.99,8505.33,8430.94,8455.92,1306050,154.26
1.53E+09,16-05-2018 01:00,BTC/USD,8455.92,8478.29,8275.02,8326.28,8931482,1070.93
1.53E+09,16-05-2018 02:00,BTC/USD,8326.28,8339.81,8100.01,8133.43,13978604,1710.2
1.53E+09,16-05-2018 03:00,BTC/USD,8133.43,8217.44,8122.56,8164.79,4028910,492.8
1.53E+09,16-05-2018 04:00,BTC/USD,8164.79,8252.72,8157.01,8229.38,5179471,630.72
1.53E+09,16-05-2018 05:00,BTC/USD,8229.38,8248.63,8166.25,8220.4,5090356,620.93
1.53E+09,16-05-2018 06:00,BTC/USD,8220.4,8267.12,8176.91,8238.8,4822260,586.34
1.53E+09,16-05-2018 07:00,BTC/USD,8238.8,8255,8213.79,8232.99,2507070,304.52
1.53E+09,16-05-2018 08:00,BTC/USD,8232.99,8261.24,8200,8207.48,3710008,450.97
1.53E+09,16-05-2018 09:00,BTC/USD,8207.48,8263.93,8207.48,8243.45,1501104,182.36
1.53E+09,16-05-2018 10:00,BTC/USD,8243.45,8455.66,8237.1,8371.13,7667494,915.32
1.53E+09,16-05-2018 11:00,BTC/USD,8371.13,8439.44,8370,8373,2680260,319.29
1.53E+09,16-05-2018 12:00,BTC/USD,8373,8399.1,8356.4,8365.08,3031532,362.01
1.53E+09,16-05-2018 13:00,BTC/USD,8365.08,8381.73,8145.1,8179.99,8614270,1046.38
1.53E+09,16-05-2018 14:00,BTC/USD,8179.99,8229.91,8173.6,8225,2936522,357.91
1.53E+09,16-05-2018 15:00,BTC/USD,8225,8377.29,8211.8,8285.8,4663320,561.2
1.53E+09,16-05-2018 16:00,BTC/USD,8285.8,8329.1,8201,8273.4,2665411,322.53
1.53E+09,16-05-2018 17:00,BTC/USD,8273.4,8350,8250.9,8297.4,8926209,1073.71
1.53E+09,16-05-2018 18:00,BTC/USD,8297.4,8346.95,8266.46,8279.89,1973143,237.21
1.53E+09,16-05-2018 19:00,BTC/USD,8279.89,8377.29,8252.72,8252.72,2086319,251.2
1.53E+09,16-05-2018 20:00,BTC/USD,8252.72,8311.35,8232.14,8302.18,2971209,359.73
1.53E+09,16-05-2018 21:00,BTC/USD,8302.18,8319.96,8268.37,8295.85,972462.5,117.23
1.53E+09,16-05-2018 22:00,BTC/USD,8295.85,8398.24,8277.25,8277.25,3030640,363.17
1.53E+09,16-05-2018 23:00,BTC/USD,8277.25,8372.58,8277.25,8346.59,1784063,214.18
1.53E+09,17-05-2018 00:00,BTC/USD,8346.59,8399.99,8314.78,8358.3,1436127,171.64
1.53E+09,17-05-2018 01:00,BTC/USD,8358.3,8386.53,8314.77,8375.1,2160024,258.58
1.53E+09,17-05-2018 02:00,BTC/USD,8375.1,8400,8350.07,8368.62,2509695,299.52
1.53E+09,17-05-2018 03:00,BTC/USD,8368.62,8500,8331.39,8366.72,6048204,718.98
1.53E+09,17-05-2018 04:00,BTC/USD,8366.72,8381,8314.77,8314.77,1000212,119.7
1.53E+09,17-05-2018 05:00,BTC/USD,8314.77,8371.3,8275.45,8363.7,3379135,405.25
1.53E+09,17-05-2018 06:00,BTC/USD,8363.7,8382.41,8335.49,8344.16,1761990,210.77
1.53E+09,17-05-2018 07:00,BTC/USD,8344.16,8351,8191.14,8247.4,5919822,714.82
1.53E+09,17-05-2018 08:00,BTC/USD,8247.4,8292.99,8227.7,8277.4,1784789,215.97
1.53E+09,17-05-2018 09:00,BTC/USD,8277.4,8325.8,8264.13,8291.67,1361911,164.2
1.53E+09,17-05-2018 10:00,BTC/USD,8291.67,8318.99,8249.93,8307.89,1670967,201.55
1.53E+09,17-05-2018 11:00,BTC/USD,8307.89,8324.9,8269.52,8298.9,1687382,203.41
1.53E+09,17-05-2018 12:00,BTC/USD,8298.9,8335.56,8219.44,8269.47,7337732,886.82
1.53E+09,17-05-2018 13:00,BTC/USD,8269.47,8309.4,8262.68,8300.98,791422.3,95.49
1.53E+09,17-05-2018 14:00,BTC/USD,8300.98,8377.29,8286.65,8318.49,4160031,499.67
1.53E+09,17-05-2018 15:00,BTC/USD,8318.49,8330.41,8289.87,8306.39,1435668,172.77
1.53E+09,17-05-2018 16:00,BTC/USD,8306.39,8328.23,8232.14,8276.43,2938422,355.39
1.53E+09,17-05-2018 17:00,BTC/USD,8276.43,8284.36,8232.14,8257.69,2107306,255.27
1.53E+09,17-05-2018 18:00,BTC/USD,8257.69,8274.83,8110.02,8166,4838784,591.06
1.53E+09,17-05-2018 19:00,BTC/USD,8166,8200,8154.95,8176.33,1087905,133.1
1.53E+09,17-05-2018 20:00,BTC/USD,8176.33,8232.14,8168.6,8200.7,1224651,149.13
1.53E+09,17-05-2018 21:00,BTC/USD,8200.7,8213.97,8151,8155.41,716047.8,87.55
1.53E+09,17-05-2018 22:00,BTC/USD,8155.41,8155.41,7980,8080,8543296,1061.54
1.53E+09,17-05-2018 23:00,BTC/USD,8080,8108.28,8005.95,8067.03,2309375,286.94
1.53E+09,18-05-2018 00:00,BTC/USD,8067.03,8068.92,7929.53,7958.08,4185614,524.42
1.53E+09,18-05-2018 01:00,BTC/USD,7958.08,8019.9,7931.03,7974.25,2522630,316
1.53E+09,18-05-2018 02:00,BTC/USD,7974.25,8026.66,7950,7998.5,3524532,441.43
1.53E+09,18-05-2018 03:00,BTC/USD,7998.5,8025,7980.58,7991.99,1517993,189.7
1.53E+09,18-05-2018 04:00,BTC/USD,7991.99,8104.69,7991.99,8022.7,6811160,844.94
1.53E+09,18-05-2018 05:00,BTC/USD,8022.7,8061.39,7992.75,8042.97,1246846,155.34
1.53E+09,18-05-2018 06:00,BTC/USD,8042.97,8045.99,7953.4,7965.67,2062118,257.56
1.53E+09,18-05-2018 07:00,BTC/USD,7965.67,8170.71,7965.67,8088.95,4941943,610.69
1.53E+09,18-05-2018 08:00,BTC/USD,8088.95,8144.16,8085.94,8122.19,1767883,217.97
1.53E+09,18-05-2018 09:00,BTC/USD,8122.19,8139.99,8078.48,8107.99,1405941,173.18
1.53E+09,18-05-2018 10:00,BTC/USD,8107.99,8152.99,8092.9,8137.73,1771767,218.06
1.53E+09,18-05-2018 11:00,BTC/USD,8137.73,8137.73,8049.22,8115,3021027,372.97
1.53E+09,18-05-2018 12:00,BTC/USD,8115,8143.72,8079.46,8107,3924700,484.39
1.53E+09,18-05-2018 13:00,BTC/USD,8107,8129.99,8062.12,8094.4,2008972,248.1
1.53E+09,18-05-2018 14:00,BTC/USD,8094.4,8106.76,8043.96,8080.01,1310625,162.35
