unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,pct_chagnge
1.6524E+12,44694,BTC/USDT,29020.8,29300,28730.4,29189.7,13070.24,379128558.9,
1.65231E+12,44693,BTC/USDT,29077.9,30257,26631,29020.7,964475.59,27412613955,-0.01
1.65223E+12,44692,BTC/USDT,31002.1,32197.6,27651,29074.7,1101875.97,33432659605,0
1.65214E+12,44691,BTC/USDT,30056,32650,29701.4,31002.1,863178.96,27002792323,0.07
1.65205E+12,44690,BTC/USDT,34032.1,34243.3,30003.6,30056.6,1078779.71,34585085018,-0.03
1.65197E+12,44689,BTC/USDT,35466.7,35504,33665,34032,426872.58,14710577346,0.13
1.65188E+12,44688,BTC/USDT,35995.2,36138,34700,35466.7,200264.83,7130599918,0.04
1.6518E+12,44687,BTC/USDT,36533.7,36679.3,35200,35995.3,431979.24,15553837186,0.01
1.65171E+12,44686,BTC/USDT,39684.1,39845,35388,36534.7,547209,20498697693,0.01
1.65162E+12,44685,BTC/USDT,37713,40071.7,37655.2,39684,424498.82,16546422735,0.09
1.65154E+12,44684,BTC/USDT,38525.5,38674.7,37500.1,37712.9,248986.22,9498898383,-0.05
1.65145E+12,44683,BTC/USDT,38440.2,39222,38032.2,38525.6,336845.37,13024319964,0.02
1.65136E+12,44682,BTC/USDT,37614.4,38680.6,37350,38440.5,236549.46,9004710659,0
1.65128E+12,44681,BTC/USDT,38572.2,38782.6,37550,37614.5,181810.38,6968090176,-0.02
1.65119E+12,44680,BTC/USDT,39732.5,39924.8,38160,38572.2,308116.38,12006054617,0.03
1.6511E+12,44679,BTC/USDT,39209,40376.6,38861.8,39732.5,413543.41,16383567774,0.03
1.65102E+12,44678,BTC/USDT,38093.7,39470,37844.5,39209,385645.37,14987444127,-0.01
1.65093E+12,44677,BTC/USDT,40411,40800,37671.8,38093.7,453132.2,17745663524,-0.03
1.65084E+12,44676,BTC/USDT,39433.4,40650,38111,40411,448877.89,17582505298,0.06
1.65076E+12,44675,BTC/USDT,39413.8,39930.6,38884.1,39433.4,180371.76,7132438712,-0.02
1.65067E+12,44674,BTC/USDT,39674.3,40000,39259,39415.1,125046.82,4956239492,0
1.65059E+12,44673,BTC/USDT,40449.7,40786.1,39133,39674.2,314935.75,12603399106,0.01
1.6505E+12,44672,BTC/USDT,41326,42966,39630,40449.8,393149.96,16394716250,0.02
1.65041E+12,44671,BTC/USDT,41472.9,42166.8,40800,41327.7,257382.43,10680662831,0.02
1.65033E+12,44670,BTC/USDT,40785.7,41788,40543.7,41472.9,214404.27,8812710771,0
1.65024E+12,44669,BTC/USDT,39649.1,41310,38465.7,40785.6,362435.32,14385834913,-0.02
1.65015E+12,44668,BTC/USDT,40360.9,40574.1,39510,39649.1,170331.82,6844928575,-0.03
1.65007E+12,44667,BTC/USDT,40529.6,40700,39944.9,40361,127705.06,5151896755,0.02
1.64998E+12,44666,BTC/USDT,39915.9,40888,39734.2,40529.5,194680.67,7834169294,0
1.64989E+12,44665,BTC/USDT,41129.8,41474.8,39522,39915.9,261966.39,10618983520,-0.02
1.64981E+12,44664,BTC/USDT,40060.7,41580,39569.8,41129.8,324910.93,13171291934,0.03
1.64972E+12,44663,BTC/USDT,39505.6,40700,39224,40060.7,349883.63,13983036683,-0.03
1.64964E+12,44662,BTC/USDT,42140.3,42399.9,39136.7,39505.6,439530.02,17947558295,-0.01
1.64955E+12,44661,BTC/USDT,42727.8,43399.4,41838,42140.4,181904.47,7757900434,0.07
1.64946E+12,44660,BTC/USDT,42229.1,42796.7,42100.3,42727.7,119722.65,5079062857,0.01
1.64938E+12,44659,BTC/USDT,43417.1,43968.1,42074,42229.2,310095.83,13392061160,-0.01
1.64929E+12,44658,BTC/USDT,43159.8,43888,42685,43417.1,229567.98,9962663418,0.03
1.6492E+12,44657,BTC/USDT,45477.5,45494.2,43100,43159.7,384359.38,17045609346,-0.01
1.64912E+12,44656,BTC/USDT,46580.9,47188,45300,45477.4,257524.64,11905271461,0.05
1.64903E+12,44655,BTC/USDT,46392.3,46895.5,45094,46580.9,272796.54,12550005434,0.02
1.64894E+12,44654,BTC/USDT,45792.3,47448,45501,46392.4,212589.01,9869048182,0
1.64886E+12,44653,BTC/USDT,46266.2,47236.8,45600,45794.6,226413.36,10506397609,-0.01
1.64877E+12,44652,BTC/USDT,45505.9,46700,44206.2,46266.2,360734.55,16398107294,0.01
1.64868E+12,44651,BTC/USDT,47053.1,47619.4,45185,45506,299837.61,13933431989,-0.02
1.6486E+12,44650,BTC/USDT,47418.5,47688.6,46535,47053.2,235009.89,11089386781,0.03
1.64851E+12,44649,BTC/USDT,47121.8,48100,46911,47418.5,259040.84,12315667516,0.01
1.64843E+12,44648,BTC/USDT,46820.9,48200,46651.2,47121.9,317565.78,15043239939,-0.01
1.64834E+12,44647,BTC/USDT,44489.3,47047,44416,46820.8,269280.23,12238392164,-0.01
1.64825E+12,44646,BTC/USDT,44290.6,44785,44041,44489.2,140712.59,6243407333,-0.05
1.64817E+12,44645,BTC/USDT,43973.2,45142,43575.1,44290.6,348620.12,15463641455,0
1.64808E+12,44644,BTC/USDT,42867.8,44200,42525,43973.4,331440.06,14365660203,-0.01
1.64799E+12,44643,BTC/USDT,42349.9,43051,41731.3,42867.9,282631.74,11938814869,-0.03
1.64791E+12,44642,BTC/USDT,40982,43517.7,40852,42349.8,374297.67,15892694389,-0.01
1.64782E+12,44641,BTC/USDT,41261,41544.4,40430,40982,308396.46,12653661230,-0.03
1.64773E+12,44640,BTC/USDT,42188.2,42269.3,40900,41261,235774.13,9789547363,0.01
1.64765E+12,44639,BTC/USDT,41751.6,42446.6,41500,42188.2,186459.95,7807076597,0.02
1.64756E+12,44638,BTC/USDT,40898,42322.8,40084.2,41751.5,299134.44,12263436409,-0.01
1.64748E+12,44637,BTC/USDT,41105.9,41498.4,40442.8,40898.1,243988.79,9978203720,-0.02
1.64739E+12,44636,BTC/USDT,39270.9,41804,38700,41105.8,650589.66,26187353348,0.01
1.6473E+12,44635,BTC/USDT,39651.6,39901.8,38073.8,39271,345019.24,13464944694,-0.04
1.64722E+12,44634,BTC/USDT,37743,39989,37522.1,39653.8,360058.36,13971397118,0.01
1.64713E+12,44633,BTC/USDT,38792.7,39300,37500,37743.7,236623.69,9151745127,-0.05
1.64704E+12,44632,BTC/USDT,38713.1,39578.4,38630,38792.6,172494.83,6738409306,0.03
